value,label
countertop store,Countertop Store
country club,Country Club
country house,Country House
country park,Country Park
courier service,Courier Service
court reporter,Court Reporter
couscous restaurant,Couscous Restaurant
couture store,Couture Store
coworking space,Coworking Space
craft store,Craft Store
cramming school,Cramming School
crane dealer,Crane Dealer
crane service,Crane Service
craniosacral therapy,Craniosacral Therapy
credit union,Credit Union
cremation service,Cremation Service
creole restaurant,Creole Restaurant
cricket club,Cricket Club
cricket ground,Cricket Ground
cricket shop,Cricket Shop
croatian restaurant,Croatian Restaurant
crop grower,Crop Grower
croquet club,Croquet Club
cruise agency,Cruise Agency
cruise line,Cruise Line
cruise terminal,Cruise Terminal
crypto atm,Crypto Atm
cuban restaurant,Cuban Restaurant
culinary school,Culinary School
cultural association,Cultural Association
cultural center,Cultural Center
cultural landmark,Cultural Landmark
cupcake shop,Cupcake Shop
cupra dealer,Cupra Dealer
curling club,Curling Club
curling hall,Curling Hall
curtain store,Curtain Store
custom tailor,Custom Tailor
customs broker,Customs Broker
customs consultant,Customs Consultant
customs department,Customs Department
customs office,Customs Office
customs warehouse,Customs Warehouse
cutlery store,Cutlery Store
cycling park,Cycling Park
czech restaurant,Czech Restaurant
dacia dealer,Dacia Dealer
daihatsu dealer,Daihatsu Dealer
dairy farm,Dairy Farm
dairy store,Dairy Store
dairy supplier,Dairy Supplier
dance club,Dance Club
dance company,Dance Company
dance conservatory,Dance Conservatory
dance hall,Dance Hall
dance pavillion,Dance Pavillion
dance restaurant,Dance Restaurant
dance school,Dance School
dance store,Dance Store
danish restaurant,Danish Restaurant
dart bar,Dart Bar
dating service,Dating Service
day spa,Day Spa
deaf church,Deaf Church
deaf service,Deaf Service
debt collecting,Debt Collecting
decal supplier,Decal Supplier
deck builder,Deck Builder
delivery service,Delivery Service
demolition contractor,Demolition Contractor
dental clinic,Dental Clinic
dental hygienist,Dental Hygienist
dental lab,Dental Lab
dental radiology,Dental Radiology
dental school,Dental School
department store,Department Store
desalination plant,Desalination Plant
design agency,Design Agency
design engineer,Design Engineer
design institute,Design Institute
dessert buffet,Dessert Buffet
