,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
274,275,Kantor PDAM Sleman Unit Tambakrejo꧋ꦏꦤ꧀ꦠꦺꦴꦂ꧈ꦥꦺ꧈ꦣꦺ꧈ꦄ꧈ꦌꦩ꧀,"-7.6857737, 110.2975664","877X+M2W, semampir wetan",3.3,4,Kantor Perusahaan,TAMBAKREJO,TEMPEL,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,54152,2024-05-29 09:05:23
275,276,Pemerintah Kalurahan Tambakrejo,"-7.6835819, 110.3022236","Jl. Bandung Kulon, RT. 02/RW. 15, Tambak Rejo, Tempel",4.1,97,Kantor Pemerintah,TAMBAKREJO,TEMPEL,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,54152,2024-05-29 09:05:23
276,277,PU.KONTRAKTOR,"-7.6861136, 110.2999278",877X+HX3,4.5,2,Kantor Perusahaan,TAMBAKREJO,TEMPEL,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,54152,2024-05-29 09:05:23
277,278,Biro jasa wasito,"-7.6883456, 110.2945805",Jl. Jalakan No.RT05/20,2.8,4,Kantor Pajak,TAMBAKREJO,TEMPEL,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,54152,2024-05-29 09:05:23
278,279,Rumah Dukuh 3 Bugel,"-7.9371173, 110.1735518",357F+66R,5.0,1,Kantor Hubungan Masyarakat,BUGEL,PANJATAN,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,54988,2024-05-29 09:05:30
279,280,Raficado Jogja,"-7.7729738, 110.3569097","Jl. Jatimulyo 1, Jl. Tri Margo rw No.383 rt 10",5.0,1,Kantor Perusahaan,KRICAK,TEGALREJO,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,55351,2024-05-29 09:05:33
280,281,Arkavisi,"-7.7887477, 110.3744776",Jl. Yos Sudarso No.21,5.0,1,Registri perusahaan,KRICAK,TEGALREJO,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,55351,2024-05-29 09:05:33
281,282,PT. Digital Registra Indonesia,"-7.7486302, 110.3741713",Jl. Lempongsari Raya No.39C,4.8,10,Layanan Web Hosting,KRICAK,TEGALREJO,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,55351,2024-05-29 09:05:33
282,283,Balai Desa Pagerharjo,"-7.6731835, 110.135038",84GP+P2F,4.3,83,Kantor Pemerintah,PAGERHARJO,SAMIGALUH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,55477,2024-05-29 09:05:34
283,284,BUMDES BINANGUN PAGERHARJO,"-7.6733015, 110.1350256","84GP+M2C, Kompleks Balai",5.0,3,Kantor Perusahaan,PAGERHARJO,SAMIGALUH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,55477,2024-05-29 09:05:34
284,285,Pemerintah Kalurahan Argomulyo,"-7.6594539, 110.4563488","8FR4+6G9, Jalan Pakem - Kalasan, Cangkringan",4.0,4,Kantor Pemerintah,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
285,286,Kantor Pos Cangkringan,"-7.6653156, 110.462387",8FM6+VXC,3.8,16,Kantor Pos,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
286,287,Kantor Kapanewon Cangkringan,"-7.6587676, 110.4557581","8FR4+F8R, Jl. Pakem - Kalasan",4.1,38,Kantor Pemerintah Distrik,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
287,288,Dukuh Jiwan,"-7.664973, 110.4710196","8FPC+2C6, Kauman, Jiwan",5.0,3,Kantor Perusahaan,ARGOMULYO,CANGKRINGAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,55839,2024-05-29 09:05:37
