ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
1363,RIAU,KAB. INDRAGIRI HULU,SUNGAI LALA,SUNGAI AIR PUTIH,29359,
1364,JAWA TIMUR,KAB. TULUNGAGUNG,PAKEL,TAMBAN,66273,
1365,SULAWESI SELATAN,KAB. GOWA,BONTOMARANNU,BONTOMANAI,92171,
1366,SULAWESI SELATAN,KAB. LUWU UTARA,MASAMBA,LABA,92919,
1367,ACEH,KAB. ACEH TENGAH,CELALA,RAMUNG ARA,24565,
1368,JAWA BARAT,KAB. BOGOR,CIBUNGBULANG,GIRIMULYA,16638,
1369,SUMATERA SELATAN,KAB. BANYUASIN,MUARA TELANG,MUKTI JAYA,30965,
1370,JAWA TENGAH,KAB. CILACAP,CIPARI,SIDASARI,53262,
1371,JAWA TENGAH,KAB. BATANG,BATANG,SAMBONG,51212,
1372,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU UTARA I,SUMBER AGUNG,31646,
1373,JAWA TIMUR,KAB. MALANG,KROMENGAN,JAMBUWER,65169,
1374,JAWA TIMUR,KAB. TRENGGALEK,SURUH,PURU,66366,
1375,ACEH,KAB. PIDIE,MILA,BLANG,24163,
1376,JAWA TENGAH,KAB. BLORA,RANDUBLATUNG,SAMBONGWANGAN,58282,
1377,PAPUA BARAT DAYA,KAB. TELUK BINTUNI,MOSKONA SELATAN,RAWARA,98565,
1378,KALIMANTAN BARAT,KAB. LANDAK,MENYUKE,SUNGAI LUBANG,78364,
1379,JAWA TENGAH,KAB. SRAGEN,KALIJAMBE,JETISKARANGPUNG,57275,
1380,SULAWESI TENGGARA,KAB. KONAWE SELATAN,LAINEA,WATUMEETO,93881,
1381,JAWA TIMUR,KAB. LUMAJANG,KLAKAH,KLAKAH,67356,
1382,JAWA TIMUR,KAB. TUBAN,KEREK,MLIWANG,62356,
1383,JAWA TIMUR,KAB. PASURUAN,PURWODADI,GERBO,67163,
1384,JAWA BARAT,KAB. KARAWANG,LEMAHABANG,PULOJAYA,41383,
1385,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,MUARA WIS,MUARA ENGGELAM,75559,
1386,BANTEN,KAB. LEBAK,SOBANG,CIROMPANG,42365,
1387,JAWA TENGAH,KAB. KENDAL,LIMBANGAN,PAKIS,51383,
1388,ACEH,KAB. ACEH BESAR,INDRAPURI,LAM ILIE GANTO,23363,
1389,SUMATERA UTARA,KAB. TAPANULI UTARA,PAGARAN,LUBIS,22458,
1390,MALUKU UTARA,KAB. HALMAHERA SELATAN,BACAN,BELANG BELANG,97911,
1391,NUSA TENGGARA TIMUR,KAB. MANGGARAI,SATAR MESE,GARA,86561,
1392,ACEH,KAB. ACEH UTARA,MUARA BATU,TEUPIN BANJA,24355,
1393,SUMATERA SELATAN,KAB. PENUKAL ABAB LEMATANG ILIR,PENUKAL UTARA,TANJUNG BARU,31262,
1394,SULAWESI UTARA,KAB. KEPULAUAN TALAUD,PULUTAN,PULUTAN SELATAN,95882,
1395,JAWA TENGAH,KAB. KENDAL,WELERI,BUMIAYU,51355,
1396,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,12560,
1397,ACEH,KAB. BIREUEN,PEUSANGAN SELATAN,LUNG KULI,24253,
1398,JAWA TENGAH,KAB. WONOGIRI,NGUNTORONADI,SEMIN,57671,
1399,SUMATERA UTARA,KAB. NIAS SELATAN,ARAMO,SIKHORILAFAU,22832,
1400,SULAWESI UTARA,KOTA TOMOHON,TOMOHON SELATAN,TUMATANGTANG,95432,
1401,JAWA TIMUR,KAB. LUMAJANG,RANUYOSO,SUMBERPETUNG,67357,
1402,PAPUA,KAB. BIAK NUMFOR,ORKERI,WANSRA,98172,
1403,LAMPUNG,KAB. PESAWARAN,GEDONG TATAAN,SUKARAJA,35311,
1404,JAWA BARAT,KAB. KUNINGAN,CIAWIGEBANG,KARANGKAMULYAN,45591,
1405,JAWA BARAT,KAB. BEKASI,CIKARANG BARAT,GANDAMEKAR,17842,
1406,PAPUA,KAB. BIAK NUMFOR,SAMOFA,SAMBAWOFUAR,98118,
1407,BENGKULU,KAB. BENGKULU SELATAN,AIR NIPIS,SUKA BANDUNG,38558,
1408,SUMATERA SELATAN,KAB. BANYUASIN,AIR SALEK,SALEH JAYA,30973,
1409,SULAWESI SELATAN,KAB. BONE,BONTOCANI,LANGI,92768,
1410,JAWA BARAT,KAB. SUBANG,BINONG,KIHIYANG,41253,
1411,SUMATERA SELATAN,KAB. OGAN ILIR,MUARA KUANG,KASAH,30865,
1412,JAWA TIMUR,KAB. SUMENEP,GULUK-GULUK,BATUAMPAR,69463,
1413,KALIMANTAN SELATAN,KAB. HULU SUNGAI UTARA,AMUNTAI TENGAH,TIGARUN,71419,
1414,MALUKU UTARA,KAB. HALMAHERA BARAT,IBU UTARA,TUGUIS,97759,
1415,SULAWESI SELATAN,KAB. LUWU,BUA PONRANG,MALENGGANG,91993,
1416,KALIMANTAN SELATAN,KAB. BALANGAN,HALONG,BARUH PANYAMBARAN,71666,
1417,SULAWESI SELATAN,KAB. ENREKANG,ENREKANG,LEORAN,91715,
1418,SUMATERA UTARA,KAB. TAPANULI SELATAN,BATANG ANGKOLA,AEK NAULI,22772,
1419,JAWA TIMUR,KAB. SIDOARJO,TAMAN,KETEGAN,61257,
1420,BANTEN,KAB. TANGERANG,CIKUPA,SUKAMULYA,15719,
1421,JAWA TIMUR,KAB. BOJONEGORO,TAMBAKREJO,TURI,62166,
1422,JAWA TENGAH,KAB. KLATEN,KEBONARUM,MENDEN,57486,
1423,SULAWESI SELATAN,KAB. BONE,BONTOCANI,PAMMUSURENG,92768,
1424,RIAU,KAB. PELALAWAN,BUNUT,SIALANG KAYU BATU,28383,
1425,JAWA TIMUR,KAB. SITUBONDO,SUMBERMALANG,BADERAN,68355,
1426,JAWA BARAT,KAB. CIANJUR,LELES,PURABAYA,43277,
1427,ACEH,KAB. ACEH TIMUR,IDI TIMUR,SEUNEUBOK KUYUN,24481,
1428,KALIMANTAN TENGAH,KAB. KATINGAN,KATINGAN HILIR,TUMBANG LITING,74413,
1429,LAMPUNG,KAB. LAMPUNG TIMUR,WAY BUNGUR,TEGAL OMBO,34372,
1430,JAMBI,KAB. KERINCI,GUNUNG KERINCI,DANAUTINGGI,37162,
1431,JAWA TIMUR,KAB. PROBOLINGGO,BESUK,BAGO,67283,
1432,JAWA TENGAH,KAB. BLORA,SAMBONG,BITING,58271,
1433,JAWA TIMUR,KAB. NGANJUK,SAWAHAN,SIDOREJO,64475,
1434,JAWA TENGAH,KAB. GROBOGAN,PURWODADI,NGLOBAR,58119,
1435,JAWA TIMUR,KAB. BLITAR,DOKO,GENENGAN,66186,
1436,JAWA BARAT,KAB. BEKASI,TAMBUN SELATAN,TAMBUN,17511,
1437,JAMBI,KAB. BUNGO,JUJUHAN,RANTAU IKIL,37258,
1438,JAWA TENGAH,KAB. BANYUMAS,PURWOKERTO SELATAN,TANJUNG,53143,
1439,JAWA BARAT,KAB. GARUT,LELES,CANGKUANG,44152,
1440,JAWA TIMUR,KAB. BOJONEGORO,TAMBAKREJO,BAKALAN,62166,
1441,JAWA BARAT,KAB. CIANJUR,CIKALONGKULON,MEKARSARI,43291,
1442,JAWA TENGAH,KAB. TEMANGGUNG,TLOGOMULYO,KEROKAN,56263,
1443,JAWA BARAT,KAB. INDRAMAYU,BONGAS,KERTAMULYA,45255,
1444,JAWA TIMUR,KAB. MAGETAN,KARANGREJO,PELEM,63395,
1445,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA SELATAN,PAYUNG,NADUNG,33778,
1446,BANTEN,KAB. LEBAK,MALINGPING,SENANGHATI,42391,
1447,MALUKU UTARA,KAB. HALMAHERA TIMUR,WASILE SELATAN,TABANALOW,97864,
1448,JAWA BARAT,KAB. SUKABUMI,CISOLOK,PASIR BARU,43366,
1449,SUMATERA UTARA,KAB. LANGKAT,TANJUNG PURA,PEMATANG CENGAL,20853,
1450,GORONTALO,KAB. GORONTALO UTARA,ANGGREK,DUDEPO,96661,
1451,JAWA TIMUR,KAB. LAMONGAN,KEMBANGBAHU,MAOR,62282,
1452,ACEH,KAB. ACEH BESAR,SUKAMAKMUR,LAMGEU TUHA,23361,
1453,JAWA TIMUR,KAB. MADIUN,SAWAHAN,KAJANG,63162,
1454,JAWA TIMUR,KAB. BANGKALAN,AROSBAYA,AROSBAYA,69151,
1455,JAWA BARAT,KAB. CIREBON,KAPETAKAN,DUKUH,45658,
1456,PAPUA PEGUNUNGAN,KAB. TOLIKARA,KUBU,TIYENGGUPUR,99422,
1457,JAWA BARAT,KAB. BOGOR,TAJURHALANG,CITAYAM,16935,
1458,JAMBI,KOTA SUNGAI PENUH,TANAH KAMPUNG,KOTO PANAP,37131,
1459,NUSA TENGGARA TIMUR,KAB. NGADA,GOLEWA SELATAN,BOBA SATU,86461,
1460,SULAWESI SELATAN,KAB. TAKALAR,PATTALLASSANG,PATTALLASSANG,92212,
1461,JAMBI,KAB. BUNGO,RANTAU PANDAN,RANTAU PANDAN,37261,
1462,SULAWESI SELATAN,KAB. BANTAENG,BISSAPPU,BONTO MANAI,92451,
1463,JAWA TENGAH,KAB. KARANGANYAR,JATIPURO,JATIKUWUNG,57784,
1464,ACEH,KAB. PIDIE,KEMBANG TANJONG,DEYAH MON ARA,24182,
1465,PAPUA,KAB. WAROPEN,INGGERUS,OTODEMO,98267,
1466,SULAWESI SELATAN,KAB. SINJAI,SINJAI BORONG,BONTO SINALA,92662,
1467,SULAWESI SELATAN,KAB. BONE,BENGO,TUNGKE,92792,
1468,JAWA BARAT,KAB. SUBANG,SAGALAHERANG,LELES,41282,
1469,SULAWESI SELATAN,KAB. LUWU,PONRANG SELATAN,PATTEDONG SELATAN,91945,
1470,SULAWESI UTARA,KOTA MANADO,PAAL DUA,KAIRAGI WERU,95129,
1471,JAWA BARAT,KAB. BOGOR,CITEUREUP,PUSPANEGARA,16811,
1472,SULAWESI SELATAN,KAB. BANTAENG,BISSAPPU,BONTO SALLUANG,92451,
1473,SUMATERA SELATAN,KAB. MUSI BANYUASIN,BATANG HARI LEKO,TALANG LEBAN,30763,
1474,ACEH,KAB. ACEH TIMUR,BIREM BAYEUN,KEUMUNENG HULU,24464,
1475,JAWA BARAT,KAB. SUKABUMI,WARUNGKIARA,BANTARKALONG,43362,
1476,SULAWESI BARAT,KAB. POLEWALI MANDAR,LUYO,BATUPANGA,91357,
1477,SUMATERA UTARA,KAB. KARO,JUHAR,BEKILANG,22163,
1478,PAPUA PEGUNUNGAN,KAB. TOLIKARA,KARUBAGA,NALORINI,99411,
1479,JAWA TIMUR,KAB. KEDIRI,KANDANGAN,KANDANGAN,64194,
1480,SUMATERA SELATAN,KAB. MUARA ENIM,MUARA ENIM,HARAPAN JAYA,31319,
1481,SUMATERA UTARA,KAB. SIMALUNGUN,TAPIAN DOLOK,PURBASARI,21154,
1482,JAWA BARAT,KAB. GARUT,TAROGONG KALER,LANGENSARI,44134,
1483,SULAWESI BARAT,KAB. POLEWALI MANDAR,WONOMULYO,BUMIMULYO,91352,
1484,BENGKULU,KAB. KEPAHIANG,UJAN MAS,SURO ILIR,39371,
1485,JAWA TIMUR,KAB. BANGKALAN,KAMAL,TANGJUNGJATI,69162,
1486,NUSA TENGGARA TIMUR,KAB. KUPANG,AMFOANG SELATAN,FATUSUKI,85364,
1487,GORONTALO,KAB. BOALEMO,MANANGGU,TABULO SELATAN,96352,
1488,NUSA TENGGARA TIMUR,KAB. KUPANG,AMFOANG UTARA,FATUNAUS,85365,
1489,RIAU,KAB. PELALAWAN,PANGKALAN KURAS,DUNDANGAN,28382,
1490,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,MENTAYA HULU,SANTILIK,74356,
1491,LAMPUNG,KAB. PESAWARAN,TEGINENENG,TRIMULYO,35363,
1492,SULAWESI SELATAN,KAB. LUWU,WALENRANG,BATUSITANDUK,91951,
1493,JAWA TENGAH,KAB. BLORA,CEPU,KARANGBOYO,58275,
1494,BANTEN,KAB. PANDEGLANG,CIKEDAL,TEGAL,42266,
1495,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,PONJONG,SUMBERGIRI,55892,
1496,SUMATERA UTARA,KAB. SERDANG BEDAGAI,SEI RAMPAH,PERGULAAN,20919,
1497,KALIMANTAN BARAT,KAB. SANGGAU,TAYAN HILIR,BEGINJAN,78564,
1498,JAWA TIMUR,KAB. GRESIK,BENJENG,BANTER,61172,
1499,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,SAMBOJA,KARYA JAYA,75592,
1500,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,HEREAPINI,NELISA,99069,
1501,JAWA BARAT,KAB. PANGANDARAN,LANGKAPLANCAR,JADIMULYA,46591,
1502,JAWA TENGAH,KAB. BANYUMAS,KEMRANJEN,KARANGSALAM,53194,
1503,KALIMANTAN BARAT,KAB. BENGKAYANG,SUTI SEMARANG,CEMPAKA PUTIH,79276,
1504,PAPUA,KAB. JAYAPURA,DEMTA,YOUGAPSA,99354,
1505,JAWA TENGAH,KAB. PURWOREJO,PURWODADI,KEBONSARI,54173,
1506,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,BELITANG III,KARYA MAJU,32385,
1507,ACEH,KAB. PIDIE,PIDIE,SEUKEMBROK,24151,
1508,SUMATERA UTARA,KAB. TAPANULI SELATAN,SIPIROK,PARAN DOLOK MARDOMU,22742,
1509,JAWA BARAT,KAB. SUMEDANG,WADO,CIKAREO SELATAN,45373,
1510,LAMPUNG,KAB. TULANG BAWANG,RAWA JITU SELATAN,KARYA JITU MUKTI,34674,
1511,SULAWESI BARAT,KAB. MAJENE,BANGGAE TIMUR,BARUGA DHUA,91414,
1512,KALIMANTAN SELATAN,KAB. HULU SUNGAI UTARA,SUNGAI PANDAN,BANYU TAJUN PANGKALAN,71455,
1513,ACEH,KAB. ACEH BARAT DAYA,LEMBAH SABIL,KUTA PAYA,23741,
1514,JAWA TENGAH,KAB. WONOGIRI,NGADIROJO,KASIHAN,57681,
1515,JAWA TENGAH,KAB. KLATEN,KARANGNONGKO,JETIS,57483,
1516,MALUKU,KAB. KEPULAUAN TANIMBAR,TANIMBAR UTARA,WATIDAL,97463,
1517,JAWA BARAT,KAB. BEKASI,KARANG BAHAGIA,KARANGANYAR,17533,
1518,MALUKU,KAB. SERAM BAGIAN TIMUR,WAKATE,LAHEMA,97595,
1519,JAWA BARAT,KAB. BANDUNG,KERTASARI,CIKEMBANG,40386,
1520,JAWA BARAT,KAB. BANDUNG,PASIRJAMBU,SUGIHMUKTI,40364,
1521,SUMATERA BARAT,KOTA PARIAMAN,PARIAMAN TENGAH,CIMPARUH,25517,
1522,MALUKU UTARA,KOTA TERNATE,PULAU TERNATE,FORAMADIAHI,97731,
1523,SUMATERA UTARA,KAB. HUMBANG HASUNDUTAN,PARANGINAN,LOBUTOLONG,22482,
1524,KALIMANTAN TENGAH,KAB. KATINGAN,TASIK PAYAWAN,LUWUK KIRI,74461,
1525,PAPUA PEGUNUNGAN,KAB. TOLIKARA,ANAWI,GINERI,99449,
1526,LAMPUNG,KAB. TULANG BAWANG,BANJAR AGUNG,TRI TUNGGAL JAYA,34682,
1527,SULAWESI TENGGARA,KAB. BOMBANA,KABAENA UTARA,-,-,
1528,SUMATERA SELATAN,KAB. MUSI BANYUASIN,BATANG HARI LEKO,ULAK KEMBANG,30763,
1529,NUSA TENGGARA TIMUR,KAB. ALOR,ALOR BARAT LAUT,OTVAI,85851,
1530,ACEH,KAB. NAGAN RAYA,KUALA,LAWA BATU,23661,
1531,ACEH,KAB. PIDIE,TIRO/TRUSEB,DAYAH KP BARO,24174,
1532,JAWA TENGAH,KAB. MAGELANG,TEMPURAN,KALISARI,56561,
1533,SULAWESI SELATAN,KAB. GOWA,TOMBOLOPAO,TONASA,92179,
1534,NUSA TENGGARA TIMUR,KAB. BELU,LAMAKNEN,MAUDEMU,85731,
1535,SULAWESI TENGAH,KAB. BANGGAI,BUALEMO,TOIBA,94774,
1536,ACEH,KAB. ACEH BESAR,PEUKAN BADA,LAM GEU EU,23351,
1537,ACEH,KAB. ACEH UTARA,BAKTIYA,COT ARA,24392,
1538,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA,MERAWANG,AIR ANYIR,33272,
1539,ACEH,KAB. ACEH SELATAN,KLUET UTARA,SIMPANG LHEE,23771,
1540,ACEH,KAB. ACEH JAYA,DARUL HIKMAH,BLANG DALAM,23643,
1541,PAPUA PEGUNUNGAN,KAB. TOLIKARA,KAI,TUNGGUNALE,99455,
1542,JAWA TENGAH,KAB. SUKOHARJO,SUKOHARJO,JOHO,57513,
1543,PAPUA PEGUNUNGAN,KAB. TOLIKARA,BOKONERI,BOKONERI,99426,
1544,SULAWESI TENGAH,KAB. SIGI,DOLO SELATAN,POI,94367,
1545,PAPUA,KAB. WAROPEN,SOYOI MAMBAI,-,-,
1546,JAWA BARAT,KAB. SUMEDANG,SUKASARI,SINDANGSARI,45366,
1547,JAWA BARAT,KAB. MAJALENGKA,MALAUSMA,LEBAKWANGI,45469,
1548,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,SOLOR BARAT,LEWOTANAH OLE,86272,
1549,JAWA TIMUR,KAB. MAGETAN,PARANG,NGUNUT,63371,
1550,JAWA TIMUR,KAB. LAMONGAN,DEKET,SIDOMULYO,62291,
1551,SULAWESI SELATAN,KAB. MAROS,CAMBA,SAWARU,90562,
1552,JAMBI,KAB. BATANGHARI,PEMAYUNG,PULAU BETUNG,36657,
1553,SULAWESI SELATAN,KAB. SIDENRENG RAPPANG,PANCA RIJANG,BULO,91651,
1554,JAWA TENGAH,KAB. JEPARA,KARIMUN JAWA,NYAMUK,59455,
1555,KALIMANTAN BARAT,KAB. MELAWI,SAYAN,NANGA SAYAN,78673,
1556,JAWA TENGAH,KAB. SRAGEN,PLUPUH,CANGKOL,57283,
1557,SUMATERA UTARA,KAB. NIAS BARAT,MANDREHE,IRAONOGAMBO,22862,
1558,JAWA TENGAH,KAB. TEGAL,WARUREJA,KENDAYAKAN,52483,
1559,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA,SUNGAILIAT,SRI MENANTI,33214,
1560,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,OMBOLATA,22825,
1561,JAWA TENGAH,KAB. PATI,PATI,SIDOKERTO,59111,
1562,LAMPUNG,KAB. LAMPUNG UTARA,ABUNG TENGAH,SRI BANDUNG,34553,
1563,JAWA TIMUR,KOTA SURABAYA,DUKUH PAKIS,DUKUH PAKIS,60225,
1564,MALUKU UTARA,KAB. HALMAHERA UTARA,LOLODA UTARA,KAILUPA,97748,
1565,JAWA TIMUR,KAB. PASURUAN,KRATON,KARANGANYAR,67151,
1566,NUSA TENGGARA TIMUR,KAB. LEMBATA,OMESURI,NILANAPO,86691,
1567,PAPUA TENGAH,KAB. PUNCAK,BEOGA,DENGKIBUMA,98982,
1568,JAWA TENGAH,KAB. BREBES,BULAKAMBA,KLUWUT,52253,
1569,LAMPUNG,KAB. LAMPUNG UTARA,SUNGKAI JAYA,CEMPAKA TIMUR,34562,
1570,JAWA TIMUR,KAB. JOMBANG,KESAMBEN,KEDUNGBETIK,61484,
1571,NUSA TENGGARA TIMUR,KAB. MANGGARAI TIMUR,POCO RANAKA,BANGKA PAU,86883,
1572,SULAWESI UTARA,KAB. MINAHASA,REMBOKEN,KAIMA,95681,
1573,NUSA TENGGARA TIMUR,KAB. ALOR,PANTAR TIMUR,LALAFANG,85885,
1574,KALIMANTAN TENGAH,KAB. KATINGAN,KATINGAN KUALA,BAKUNG RAYA,74463,
1575,SUMATERA SELATAN,KOTA LUBUK LINGGAU,LUBUK LINGGAU TIMUR I,TABA LESTARI,31625,
1576,GORONTALO,KAB. GORONTALO UTARA,GENTUMA RAYA,DURIAN,96652,
1577,JAWA TENGAH,KAB. WONOGIRI,PRACIMANTORO,JIMBAR,57664,
1578,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,BUAY PEMUKA PELIUNG,BANU AYU,32367,
1579,BENGKULU,KAB. MUKO MUKO,MALIN DEMAN,GAJAH MAKMUR,38762,
1580,SUMATERA UTARA,KAB. BATU BARA,DATUK LIMA PULUH,-,-,
1581,PAPUA BARAT DAYA,KAB. SORONG SELATAN,KOKODA UTARA,-,-,
1582,SUMATERA UTARA,KAB. TOBA,BALIGE,HINALANG BAGASAN,22319,
1583,PAPUA TENGAH,KAB. DOGIYAI,MAPIA TENGAH,UPIBEGA,98873,
1584,JAWA TIMUR,KAB. NGAWI,KARANGJATI,SEMBUNG,63284,
1585,JAWA TENGAH,KAB. KEBUMEN,AMBAL,SIDOLUHUR,54392,
1586,NUSA TENGGARA TIMUR,KAB. SABU RAIJUA,SABU TENGAH,EIMAU,85394,
1587,BANTEN,KAB. LEBAK,BANJARSARI,BENDUNGAN,42355,
1588,JAWA TENGAH,KAB. SUKOHARJO,MOJOLABAN,TRIYAGAN,57554,
1589,NUSA TENGGARA TIMUR,KAB. LEMBATA,LEBATUKAN,LODOTODOKOWA,86681,
1590,SUMATERA UTARA,KAB. SIMALUNGUN,DOLOK PARDAMEAN,SIBUNTUON,21163,
1591,JAWA BARAT,KAB. BOGOR,RUMPIN,KAMPUNGSAWAH,16355,
1592,KALIMANTAN BARAT,KAB. SEKADAU,SEKADAU HILIR,MUNGGUK,79582,
1593,BANTEN,KAB. PANDEGLANG,MANDALAWANGI,MANDALASARI,42261,
1594,MALUKU UTARA,KAB. HALMAHERA SELATAN,BACAN TIMUR,SABATANG,97914,
1595,ACEH,KOTA BANDA ACEH,LUENG BATA,PANTERIEK,23247,
1596,SULAWESI BARAT,KAB. MAMUJU,TAPALANG,BELA,91552,
1597,PAPUA PEGUNUNGAN,KAB. TOLIKARA,GIKA,GELOK,99447,
1598,JAWA BARAT,KAB. CIANJUR,CIANJUR,MEKARSARI,43218,
1599,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,SUKAMULIA,PADAMARA,83652,
1600,JAWA BARAT,KAB. SUBANG,CIKAUM,PASIRMUNCANG,41264,
1601,JAWA TENGAH,KAB. BANJARNEGARA,KARANGKOBAR,KARANGGONDANG,53453,
1602,LAMPUNG,KAB. WAY KANAN,BUMI AGUNG,SRI NUMPI,34782,
1603,JAWA TENGAH,KAB. PURWOREJO,NGOMBOL,KUMPULSARI,54172,
1604,RIAU,KAB. ROKAN HILIR,PEKAITAN,TELUK BANO II,28951,
1605,SULAWESI TENGAH,KAB. BANGGAI,TOILI BARAT,RATA,94765,
1606,JAMBI,KAB. KERINCI,KAYU ARO BARAT,GUNUNGLABU,37165,
1607,SUMATERA UTARA,KAB. PAKPAK BHARAT,SITELU TALI URANG JULU,LAE LANGGE NAMUSENG,22275,
1608,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,KAYU AGUNG,PAKU,30612,
1609,JAWA BARAT,KAB. BANDUNG BARAT,CIPONGKOR,NEGLASARI,40764,
1610,JAWA BARAT,KAB. BEKASI,BABELAN,BABELANKOTA,17611,
1611,JAWA TIMUR,KAB. BOJONEGORO,SEKAR,BOBOL,62174,
1612,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,PENGANDONAN,TANGSI LONTAR,32155,
1613,JAWA BARAT,KAB. SUMEDANG,DARMARAJA,DARMARAJA,45372,
1614,JAWA TENGAH,KAB. MAGELANG,TEGALREJO,GIRIREJO,56592,
1615,SUMATERA SELATAN,KAB. BANYUASIN,RANTAU BAYUR,SEJAGUNG,30968,
1616,JAWA TENGAH,KAB. PURBALINGGA,BOBOTSARI,KARANGMALANG,53353,
1617,SUMATERA UTARA,KAB. MANDAILING NATAL,BATAHAN,MUARA PERTEMUAN,22988,
1618,LAMPUNG,KAB. LAMPUNG TENGAH,BANDAR SURABAYA,SURABAYA ILIR,34259,
1619,SUMATERA UTARA,KOTA MEDAN,MEDAN DELI,MABAR,20242,
1620,KALIMANTAN SELATAN,KAB. TABALONG,HARUAI,HALONG,71572,
1621,LAMPUNG,KAB. LAMPUNG TIMUR,BRAJA SELEBAH,BRAJA LUHUR,34397,
1622,JAWA TENGAH,KAB. GROBOGAN,TOROH,GENENGSARI,58171,
1623,SUMATERA BARAT,KAB. DHARMASRAYA,SITIUNG,-,-,
1624,JAWA TIMUR,KAB. BLITAR,DOKO,SURU,66186,
1625,SUMATERA UTARA,KAB. SERDANG BEDAGAI,SEI RAMPAH,RAMBUNG SIALANG HILIR,20919,
1626,JAWA TIMUR,KAB. BLITAR,BAKUNG,BULULAWANG,66163,
1627,JAWA TIMUR,KAB. SAMPANG,JRENGIK,BANCELOK,69272,
1628,SUMATERA SELATAN,KAB. LAHAT,LAHAT,KOTA NEGARA,31414,
1629,KALIMANTAN BARAT,KOTA PONTIANAK,PONTIANAK TENGGARA,BANGKA BELITUNG DARAT,78124,
1630,NUSA TENGGARA TIMUR,KAB. MANGGARAI,RUTENG,PONG LEKO,86551,
1631,LAMPUNG,KOTA METRO,METRO TIMUR,TEJOSARI,34143,
1632,JAWA TENGAH,KAB. PURWOREJO,PITURUH,TASIKMADU,54163,
1633,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,MANTRIJERON,MANTRIJERON,55143,
1634,ACEH,KAB. ACEH BESAR,LEUPUNG,DAYAH MAMPLAM,23355,
1635,JAWA TENGAH,KAB. KLATEN,JATINOM,MRANGGEN,57481,
1636,KALIMANTAN BARAT,KAB. SINTANG,KAYAN HILIR,KARYA BARU,78693,
1637,JAWA TENGAH,KAB. MAGELANG,NGABLAK,GIRIREJO,56594,
1638,SULAWESI TENGGARA,KAB. BUTON SELATAN,SAMPOLAWA,HENDEA,93753,
1639,ACEH,KAB. ACEH TIMUR,SUNGAI RAYA,SEUNEUBOK ACEH,24465,
1640,SULAWESI SELATAN,KAB. SINJAI,SINJAI BORONG,BIJI NANGKA,92662,
1641,JAWA TIMUR,KAB. BANGKALAN,AROSBAYA,BATONAONG,69151,
1642,BANTEN,KOTA TANGERANG SELATAN,PONDOK AREN,PARIGI,15427,
1643,MALUKU,KAB. KEPULAUAN ARU,ARU SELATAN TIMUR,SIYA,97693,
1644,SUMATERA BARAT,KAB. PADANG PARIAMAN,SUNGAI GARINGGING,-,-,
1645,JAWA BARAT,KAB. CIREBON,ARJAWINANGUN,JUNGJANG WETAN,45662,
1646,NUSA TENGGARA TIMUR,KAB. KUPANG,AMARASI,NONBES,85366,
1647,BENGKULU,KAB. KAUR,KELAM TENGAH,RIGANGAN III,38956,
1648,BANTEN,KAB. TANGERANG,PASAR KEMIS,SINDANGSARI,15562,
1649,SULAWESI SELATAN,KAB. WAJO,TANASITOLO,UJUNGBARU,90951,
1650,JAWA TIMUR,KAB. BANGKALAN,GALIS,BANJAR,69173,
1651,NUSA TENGGARA TIMUR,KAB. MALAKA,MALAKA BARAT,NAAS,85763,
1652,JAWA TIMUR,KAB. MALANG,NGANTANG,PURWOREJO,65192,
1653,SUMATERA UTARA,KAB. TAPANULI TENGAH,TAPIAN NAULI,MELA I,22647,
1654,ACEH,KAB. ACEH TENGGARA,BUKIT TUSAM,MAHA SINGKIL,24676,
1655,RIAU,KAB. INDRAGIRI HILIR,RETEH,MEKAR SARI,29273,
1656,JAWA TIMUR,KAB. MALANG,SUMBERMANJING WETAN,SUMBERMANJING WETAN,65176,
1657,SULAWESI TENGGARA,KAB. BUTON SELATAN,KADATUA,BANABUNGI,93738,
1658,JAWA BARAT,KAB. MAJALENGKA,BANTARUJEG,SALAWANGI,45464,
1659,JAWA BARAT,KAB. KUNINGAN,PANCALANG,KAHIYANGAN,45557,
